GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Book Library API,vn.vlong.booklibrary.api.user.query.controller.mapper,UserMapper,36,0,0,0,11,0,3,0,3,0
Book Library API,vn.vlong.booklibrary.api.user.query.controller.request,GetUsersRequest,33,0,0,0,6,0,6,0,6,0
Book Library API,vn.vlong.booklibrary.api.user.exception,UserNeedCreateIsExist,0,4,0,0,0,2,0,1,0,1
Book Library API,vn.vlong.booklibrary.api.user.query.controller.response,UserDTO,49,0,0,0,8,0,9,0,9,0
Book Library API,vn.vlong.booklibrary.api.user.query.controller.response,UserDTO.UserDTOBuilder,98,0,0,0,1,0,10,0,10,0
Book Library API,vn.vlong.booklibrary.api.shared.gateway,CommandGateway,11,0,0,0,5,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.user.query.service,UserQueryService,23,0,0,0,5,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.user.command.domain.event,UserCreatedEvent,48,0,0,0,16,0,8,0,8,0
Book Library API,vn.vlong.booklibrary.api,BookLibraryApplication,8,0,0,0,3,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.user.query.domain.entity,QUser,165,0,0,0,16,0,4,0,4,0
Book Library API,vn.vlong.booklibrary.api.user.query.domain.entity,User,63,0,0,0,11,0,12,0,12,0
Book Library API,vn.vlong.booklibrary.api.user.query.domain.entity,User.UserBuilder,122,0,0,0,1,0,12,0,12,0
Book Library API,vn.vlong.booklibrary.api.user.command.handler,CreateUserCommandHandler,58,32,1,1,8,6,1,2,0,2
Book Library API,vn.vlong.booklibrary.api.user.command.controller,UserCommandController,18,0,0,0,5,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.shared.domain.query,Query,4,0,0,0,2,0,1,0,1,0
Book Library API,vn.vlong.booklibrary.api.configuration,WebSecurityConfig,13,0,0,0,3,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.configuration,ApplicationConfig,3,0,0,0,1,0,1,0,1,0
Book Library API,vn.vlong.booklibrary.api.user.command.controller.request,CreateUserRequest.CreateUserRequestBuilder,62,0,0,0,1,0,7,0,7,0
Book Library API,vn.vlong.booklibrary.api.user.command.controller.request,CreateUserRequest,31,0,0,0,5,0,6,0,6,0
Book Library API,vn.vlong.booklibrary.api.shared.controller.response,Error.ErrorBuilder,50,0,0,0,1,0,6,0,6,0
Book Library API,vn.vlong.booklibrary.api.shared.controller.response,Success,19,0,0,0,3,0,4,0,4,0
Book Library API,vn.vlong.booklibrary.api.shared.controller.response,Error,25,0,0,0,4,0,5,0,5,0
Book Library API,vn.vlong.booklibrary.api.shared.controller.response,Success.SuccessBuilder,38,0,0,0,1,0,5,0,5,0
Book Library API,vn.vlong.booklibrary.api.shared.domain.command,Command,0,4,0,0,0,2,0,1,0,1
Book Library API,vn.vlong.booklibrary.api.user.command.service,UserCommandService,24,0,0,0,7,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.shared.domain.event,Event,16,0,0,0,6,0,3,0,3,0
Book Library API,vn.vlong.booklibrary.api.shared.eventbus,EventSourcePublisher,22,0,0,0,8,0,3,0,3,0
Book Library API,vn.vlong.booklibrary.api.eventsource.service,EventSourceService,43,0,0,0,13,0,3,0,3,0
Book Library API,vn.vlong.booklibrary.api.user.query.controller,UserQueryController,19,0,0,0,6,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.user.query.handler,UserEventHandler,43,0,0,0,15,0,2,0,2,0
Book Library API,vn.vlong.booklibrary.api.user.command.domain.entity,User,30,103,3,9,8,27,8,10,5,7
Book Library API,vn.vlong.booklibrary.api.eventsource.domain,EventSource,54,0,2,0,17,0,9,0,8,0
Book Library API,vn.vlong.booklibrary.api.eventsource.domain,QEventSource,120,0,0,0,13,0,4,0,4,0
Book Library API,vn.vlong.booklibrary.api.user.command.domain.command,CreateUserCommand,9,19,0,0,3,7,3,2,3,2
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,FullName,24,31,6,4,4,10,5,5,2,3
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,UserId,19,15,2,2,5,5,4,2,3,1
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,ActiveCode,17,18,2,2,5,5,4,2,3,1
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,Password,17,18,2,2,5,5,4,2,3,1
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,UserRole,18,19,4,2,4,6,4,3,2,2
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,Email,14,27,2,2,4,7,3,3,2,2
Book Library API,vn.vlong.booklibrary.api.user.command.domain.valueobject,Role,15,41,2,1,2,8,2,4,0,4
